firma;land;ort;typ;kategorie;kontaktperson;kanal;letzter_kontakt;artikel;preis;moq;musterkosten;musterzeit;lieferzeit;zahlung;incoterm;status;naechster_schritt;faellig;quelle;notiz
Ningbo Yongxiang Plastics;CN;Yuyao/Ningbo;Fabrik seit 1992;Trigger;;yxsprayers.com;;ZB-03 Trigger;;k. A.;;;;;;neu;nur Trigger anfragen, Dichtungswerkstoff klaeren;;yxsprayers.com;Gewinde 28/410
Beauty Star;CN;Guangzhou/Shenzhen;Fabrik, boersennotiert, seit 1984;Trigger + Flaschen;;made-in-china.com;;ZB-03;;10.000 Trigger / 5.000 Sets;;;;;;zurueckgestellt;erst bei groesserer Menge;;made-in-china.com;MOQ zu hoch fuer Erstauflage
ACT Aerosol Chemie Technik;DE;Albershausen;Lohnhersteller Kfz-Chemie seit 1963;Lohnabfuellung Chemie;;act-gmbh.de;;CH-01 bis CH-06;;500-50.000 Einheiten (Eigenangabe, unverifiziert);;;;;;neu;Anfrage mit Pflichtenheft CH-01;;act-gmbh.de;auf Autopflege spezialisiert - Prio 1
Rieduklin-Chemie Egon Beck;DE;Riedenburg;Lohnhersteller Reinigungsmittel, 11 Abfuellanlagen;Lohnabfuellung Chemie;;rieduklin.de;;CH-01 bis CH-06;;Kleinmengen ausdruecklich moeglich;;;;;;neu;Anfrage mit Pflichtenheft CH-01;;rieduklin.de/lohnfertigung;explizite Kleinmengen-Option
Dr. Weipert & Co. Nachf.;DE;Aachen/Bonn;Lohnhersteller seit 1951, 50.000 qm;Lohnabfuellung Chemie;;weipert-chemie.de;;CH-01, CH-03;;k. A.;;;;;;neu;Anfrage, Autopflege-Erfahrung klaeren;;weipert-chemie.de;breites Reinigerportfolio, Kfz-Fokus unbestaetigt
Scholl Concepts;DE;k. A.;Hersteller mit Private-Label-Programm;Private Label Chemie;;schollconcepts.com;;CH-01, CH-04;;k. A.;;;;;;neu;Private-Label-Programm anfragen;;schollconcepts.com/Private-Label;Profi-Anbieter, explizites PL-Angebot
CLEANCOMPANY / CLEANEXTREME;DE;k. A.;Private-Label-Lohnherstellung;Private Label Chemie;;cleancompany.de;;CH-01 bis CH-05;;k. A.;;;;;;neu;Anfrage;;cleancompany.de/private_label;Auto- und Motorradpflege im Programm
yourowncarlabel;NL;Niederlande;White-Label-Anbieter;Private Label Chemie;;yourowncarlabel.nl;;CH-01;;ab 200 Stueck (unverifiziert);;;;;;neu;Anfrage als Kleinmengen-Vergleich;;yourowncarlabel.nl;kleinste bekannte Einstiegsmenge
Brilliatech / Brilliachem;CN;Guangzhou;Eigenangabe Fabrik seit 2006/07;Fertigchemie (zurueckgestellt);;brilliachem.com;;CH-01;;ab 500 Flaschen (Eigenangabe);;;;;;zurueckgestellt;erst wenn Volumen die EU-Compliance traegt;;brilliachem.com;Iron-Remover mit Farbumschlag - CLP/SDB/PCN waeren Sache des Betriebs
Guangzhou Lidi Automobile Supplies;CN;Guangzhou/Baiyun;Fabrik seit 2006, ISO 9001:2015 (Eigenangabe);Fertigchemie (zurueckgestellt);;lidigz.cn;;CH-01;;k. A.;;;;;;zurueckgestellt;siehe Brilliatech;;lidigz.cn;Kooperation mit Nara Chemical (JP)
